0,0.01_10_15_0_put,0.01_10_15_0_call,0.03_10_15_0_put,0.03_10_15_0_call,0.05_10_15_0_put,0.05_10_15_0_call,0.1_10_15_0_put,0.1_10_15_0_call,0.15_10_15_0_put,0.15_10_15_0_call,0.2_10_15_0_put,0.2_10_15_0_call,0.25_10_15_0_put,0.25_10_15_0_call,0.3_10_15_0_put,0.3_10_15_0_call,0.35_10_15_0_put,0.35_10_15_0_call,0.4_10_15_0_put,0.4_10_15_0_call,0.45_10_15_0_put,0.45_10_15_0_call,0.5_10_15_0_put,0.5_10_15_0_call,0.01_10_16_0_put,0.01_10_16_0_call,0.03_10_16_0_put,0.03_10_16_0_call,0.05_10_16_0_put,0.05_10_16_0_call,0.1_10_16_0_put,0.1_10_16_0_call,0.15_10_16_0_put,0.15_10_16_0_call,0.2_10_16_0_put,0.2_10_16_0_call,0.25_10_16_0_put,0.25_10_16_0_call,0.3_10_16_0_put,0.3_10_16_0_call,0.35_10_16_0_put,0.35_10_16_0_call,0.4_10_16_0_put,0.4_10_16_0_call,0.45_10_16_0_put,0.45_10_16_0_call,0.5_10_16_0_put,0.5_10_16_0_call,0.01_11_15_0_put,0.01_11_15_0_call,0.03_11_15_0_put,0.03_11_15_0_call,0.05_11_15_0_put,0.05_11_15_0_call,0.1_11_15_0_put,0.1_11_15_0_call,0.15_11_15_0_put,0.15_11_15_0_call,0.2_11_15_0_put,0.2_11_15_0_call,0.25_11_15_0_put,0.25_11_15_0_call,0.3_11_15_0_put,0.3_11_15_0_call,0.35_11_15_0_put,0.35_11_15_0_call,0.4_11_15_0_put,0.4_11_15_0_call,0.45_11_15_0_put,0.45_11_15_0_call,0.5_11_15_0_put,0.5_11_15_0_call,0.01_11_16_0_put,0.01_11_16_0_call,0.03_11_16_0_put,0.03_11_16_0_call,0.05_11_16_0_put,0.05_11_16_0_call,0.1_11_16_0_put,0.1_11_16_0_call,0.15_11_16_0_put,0.15_11_16_0_call,0.2_11_16_0_put,0.2_11_16_0_call,0.25_11_16_0_put,0.25_11_16_0_call,0.3_11_16_0_put,0.3_11_16_0_call,0.35_11_16_0_put,0.35_11_16_0_call,0.4_11_16_0_put,0.4_11_16_0_call,0.45_11_16_0_put,0.45_11_16_0_call,0.5_11_16_0_put,0.5_11_16_0_call,0.01_13_15_0_put,0.01_13_15_0_call,0.03_13_15_0_put,0.03_13_15_0_call,0.05_13_15_0_put,0.05_13_15_0_call,0.1_13_15_0_put,0.1_13_15_0_call,0.15_13_15_0_put,0.15_13_15_0_call,0.2_13_15_0_put,0.2_13_15_0_call,0.25_13_15_0_put,0.25_13_15_0_call,0.3_13_15_0_put,0.3_13_15_0_call,0.35_13_15_0_put,0.35_13_15_0_call,0.4_13_15_0_put,0.4_13_15_0_call,0.45_13_15_0_put,0.45_13_15_0_call,0.5_13_15_0_put,0.5_13_15_0_call,0.01_13_16_0_put,0.01_13_16_0_call,0.03_13_16_0_put,0.03_13_16_0_call,0.05_13_16_0_put,0.05_13_16_0_call,0.1_13_16_0_put,0.1_13_16_0_call,0.15_13_16_0_put,0.15_13_16_0_call,0.2_13_16_0_put,0.2_13_16_0_call,0.25_13_16_0_put,0.25_13_16_0_call,0.3_13_16_0_put,0.3_13_16_0_call,0.35_13_16_0_put,0.35_13_16_0_call,0.4_13_16_0_put,0.4_13_16_0_call,0.45_13_16_0_put,0.45_13_16_0_call,0.5_13_16_0_put,0.5_13_16_0_call,0.01_15_15_1_put,0.01_15_15_1_call,0.03_15_15_1_put,0.03_15_15_1_call,0.05_15_15_1_put,0.05_15_15_1_call,0.1_15_15_1_put,0.1_15_15_1_call,0.15_15_15_1_put,0.15_15_15_1_call,0.2_15_15_1_put,0.2_15_15_1_call,0.25_15_15_1_put,0.25_15_15_1_call,0.3_15_15_1_put,0.3_15_15_1_call,0.35_15_15_1_put,0.35_15_15_1_call,0.4_15_15_1_put,0.4_15_15_1_call,0.45_15_15_1_put,0.45_15_15_1_call,0.5_15_15_1_put,0.5_15_15_1_call,0.01_15_16_1_put,0.01_15_16_1_call,0.03_15_16_1_put,0.03_15_16_1_call,0.05_15_16_1_put,0.05_15_16_1_call,0.1_15_16_1_put,0.1_15_16_1_call,0.15_15_16_1_put,0.15_15_16_1_call,0.2_15_16_1_put,0.2_15_16_1_call,0.25_15_16_1_put,0.25_15_16_1_call,0.3_15_16_1_put,0.3_15_16_1_call,0.35_15_16_1_put,0.35_15_16_1_call,0.4_15_16_1_put,0.4_15_16_1_call,0.45_15_16_1_put,0.45_15_16_1_call,0.5_15_16_1_put,0.5_15_16_1_call,0.01_12_12_1_put,0.01_12_12_1_call,0.03_12_12_1_put,0.03_12_12_1_call,0.05_12_12_1_put,0.05_12_12_1_call,0.1_12_12_1_put,0.1_12_12_1_call,0.15_12_12_1_put,0.15_12_12_1_call,0.2_12_12_1_put,0.2_12_12_1_call,0.25_12_12_1_put,0.25_12_12_1_call,0.3_12_12_1_put,0.3_12_12_1_call,0.35_12_12_1_put,0.35_12_12_1_call,0.4_12_12_1_put,0.4_12_12_1_call,0.45_12_12_1_put,0.45_12_12_1_call,0.5_12_12_1_put,0.5_12_12_1_call,0.01_15_16_7_put,0.01_15_16_7_call,0.03_15_16_7_put,0.03_15_16_7_call,0.05_15_16_7_put,0.05_15_16_7_call,0.1_15_16_7_put,0.1_15_16_7_call,0.15_15_16_7_put,0.15_15_16_7_call,0.2_15_16_7_put,0.2_15_16_7_call,0.25_15_16_7_put,0.25_15_16_7_call,0.3_15_16_7_put,0.3_15_16_7_call,0.35_15_16_7_put,0.35_15_16_7_call,0.4_15_16_7_put,0.4_15_16_7_call,0.45_15_16_7_put,0.45_15_16_7_call,0.5_15_16_7_put,0.5_15_16_7_call,0.01_15_16_14_put,0.01_15_16_14_call,0.03_15_16_14_put,0.03_15_16_14_call,0.05_15_16_14_put,0.05_15_16_14_call,0.1_15_16_14_put,0.1_15_16_14_call,0.15_15_16_14_put,0.15_15_16_14_call,0.2_15_16_14_put,0.2_15_16_14_call,0.25_15_16_14_put,0.25_15_16_14_call,0.3_15_16_14_put,0.3_15_16_14_call,0.35_15_16_14_put,0.35_15_16_14_call,0.4_15_16_14_put,0.4_15_16_14_call,0.45_15_16_14_put,0.45_15_16_14_call,0.5_15_16_14_put,0.5_15_16_14_call,0.01_15_16_28_put,0.01_15_16_28_call,0.03_15_16_28_put,0.03_15_16_28_call,0.05_15_16_28_put,0.05_15_16_28_call,0.1_15_16_28_put,0.1_15_16_28_call,0.15_15_16_28_put,0.15_15_16_28_call,0.2_15_16_28_put,0.2_15_16_28_call,0.25_15_16_28_put,0.25_15_16_28_call,0.3_15_16_28_put,0.3_15_16_28_call,0.35_15_16_28_put,0.35_15_16_28_call,0.4_15_16_28_put,0.4_15_16_28_call,0.45_15_16_28_put,0.45_15_16_28_call,0.5_15_16_28_put,0.5_15_16_28_call,0.01_15_16_42_put,0.01_15_16_42_call,0.03_15_16_42_put,0.03_15_16_42_call,0.05_15_16_42_put,0.05_15_16_42_call,0.1_15_16_42_put,0.1_15_16_42_call,0.15_15_16_42_put,0.15_15_16_42_call,0.2_15_16_42_put,0.2_15_16_42_call,0.25_15_16_42_put,0.25_15_16_42_call,0.3_15_16_42_put,0.3_15_16_42_call,0.35_15_16_42_put,0.35_15_16_42_call,0.4_15_16_42_put,0.4_15_16_42_call,0.45_15_16_42_put,0.45_15_16_42_call,0.5_15_16_42_put,0.5_15_16_42_call
2019-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0.057,-0.057,0.133,-0.133,5.55E-17,-0.304,0.1425,-0.304,0.1425,-0.313405,0.104405,-0.313405,0.104405,-0.227905,0.14231,-0.227905,0,0,0,0,0,0,0.057,0,0.057,-0.057,0.133,-0.133,5.55E-17,-0.304,0.1425,-0.304,0.1425,-0.313405,0.104405,-0.313405,0.104405,-0.227905,0.14231,-0.227905,0,0,0,0,0,0,0.113905,-0.1615,0.113905,-0.113905,0.227905,-0.227905,0.170905,-0.389405,0.170905,-0.389405,0.389405,-0.550905,0.503405,-0.550905,0.503405,-0.683905,0.61731,-0.683905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-16,0,0,0,0,0,-0.399,-0.456095,-0.038,-0.456095,-0.038,-0.93119,-0.19931,-0.93119,-0.351405,-1.97619,-0.351405,-1.97619,-0.351405,-3.14488,0.23769,-3.14488,0.23769,-4.379785,0.23769,0,0,0,0,0,-0.5225,-0.332595,-0.1615,-0.332595,-0.1615,-0.80769,-0.32281,-0.80769,-0.949905,-1.85269,-0.949905,-1.85269,-0.949905,-3.09738,-1.15881,-3.09738,-1.15881,-4.484285,-1.15881,0,0,0,0,0,0,0.171,-0.475,0.123405,-0.475,0.123405,-1.092595,0.25631,-1.092595,0.25631,-2.47,0.25631,-2.47,0.978405,-2.47,0.978405,-2.47,0.978405,-3.57219,0,0,0,0,0,0,0.2945,-0.5985,0.170905,-0.5985,0.170905,-1.216095,0.15181,-1.216095,0.15181,-2.5935,0.15181,-2.5935,1.98531,-2.5935,1.98531,-2.5935,1.98531,-4.17069,0,0,0,0,0,0,-0.3325,0.3325,-0.3325,0.3325,-0.57,0.551,-0.57,0.551,-1.026,0.551,-1.026,1.1305,-1.026,1.1305,-1.026,1.1305,-2.099595,1.1305,0,0,0,0,0,0,-0.209,0.209,-0.209,0.209,-0.4465,-0.0475,-0.4465,-0.0475,-0.9785,-0.0475,-0.9785,-0.266,-0.9785,-0.266,-0.9785,-0.266,-2.204095,-0.266,0,0,0,0,0,0,0.5985,0,0.057,-0.5985,0.0475,-1.6055,-0.114095,-2.66,-0.969095,-2.66,-0.969095,-4.351095,0.18981,-4.351095,0.18981,-5.263095,1.2255,-5.263095,0,0,0,0,0,0,0.722,0,0.1805,-0.722,0.171,-1.729,-0.066595,-2.7835,-1.073595,-2.7835,-1.073595,-4.474595,1.196715,-4.474595,1.196715,-5.386595,2.65069,-5.386595,0,0,0,0,0,0,0.4845,-0.4845,0.4845,-0.4845,0.2375,-1.4915,-0.038,-2.546,-0.038,-2.546,-0.551,-4.237095,0.379905,-4.237095,0.379905,-4.560095,0.608095,-4.560095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,0,0.5035,-0.361,0.5035,-0.693405,0.74081,-0.693405,0.74081,-0.693405,1.320405,-1.272905,1.320405,-1.272905,1.320405,-1.272905,1.320405,-1.82381,0,0,0,0,0,0,0.361,0,0.5035,-0.361,0.5035,-0.693405,0.74081,-0.693405,0.74081,-0.693405,1.320405,-1.272905,1.320405,-1.272905,1.320405,-1.272905,1.320405,-1.82381,0,0,0,0,0,0,-0.494,-0.066595,-0.38,0.5415,-0.95,0.5415,-1.33,0.7315,-1.33,0.7315,-2.2325,1.3395,-2.2325,1.3395,-2.945,1.881095,-2.945,1.881095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-18,0,0,-1.377405,0,-0.78831,0,-1.4535,0,-1.08281,-0.570095,-1.13031,-0.570095,-1.025525,-1.425095,-1.025525,-1.425095,0.095665,-1.425095,0.095665,-2.75519,0.095665,-2.75519,2.31895,-2.75519,0,0,-0.788405,0,-0.19931,0,-0.8645,0,-0.49381,-1.159095,-0.778905,-1.159095,1.65357,-2.014095,1.65357,-2.014095,4.57026,-2.014095,4.57026,-3.34419,4.57026,-3.34419,7.715045,-3.34419,0,0,0,0,-1.377405,0,-1.235,0.028405,-1.1305,0.028405,-1.56731,-0.84569,-1.83331,-0.84569,-1.83331,-0.84569,-1.83331,-2.26119,-1.728525,-2.26119,-1.728525,-2.26119,-1.728525,-2.489665,0,0,0,0,-0.788405,0,-0.646,-0.560595,-0.5415,-0.560595,-0.97831,-1.43469,-1.481905,-1.43469,-1.481905,-1.43469,-1.481905,-3.306,0.95057,-3.306,0.95057,-3.306,0.95057,-5.98557,0,0,0,0,0,0.265905,0,1.02581,-0.740905,1.02581,-1.216,2.44093,-1.216,2.44093,-1.824,2.44093,-1.824,2.44093,-1.824,4.150835,-2.897405,4.150835,-2.897405,4.150835,0,0,0,0,0,-0.323095,0,-0.019,-0.151905,-0.019,-0.627,-1.054975,-0.627,-1.054975,-1.235,-1.054975,-1.235,-1.054975,-1.235,-1.254665,-2.546,-1.254665,-2.546,-1.254665,0,0,-0.78831,0,-1.406,0,-1.04481,0,-0.854525,-0.608095,-0.854525,-1.007095,0.390165,-1.007095,0.390165,-1.007095,3.59195,-1.852595,3.59195,-1.852595,3.59195,-1.852595,3.59195,-3.99019,0,0,-0.19931,0,-0.817,0,-0.693405,0,1.82457,-1.197095,1.82457,-1.596095,4.86476,-1.596095,4.86476,-1.596095,8.988045,-2.441595,8.988045,-2.441595,8.988045,-2.441595,8.988045,-4.57919,0,0,0,0,0,0,1.206595,-0.76,0.617595,-1.605595,1.643785,-1.605595,3.02138,-2.451095,3.02138,-2.451095,3.97157,-4.58869,3.97157,-4.58869,6.47976,-6.621785,6.47976,-6.621785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,-0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-21,0,0,0,0,0,0.1235,-0.712595,0.1235,-1.04519,0.760095,-1.04519,1.98569,-1.491595,1.98569,-1.491595,1.98569,-2.166285,4.237095,-2.166285,4.237095,-2.166285,4.237095,-3.87619,4.237095,0,0,0,0,0,0.313595,-0.90269,0.313595,-1.235285,0.902785,-1.235285,2.97426,-1.68169,2.97426,-1.68169,2.97426,-2.35638,5.94795,-2.35638,5.94795,-2.35638,5.94795,-4.16138,5.94795,0,0,0,0,0,0.1235,0,0.1235,-0.456,0.4085,-0.456,0.4085,-0.7695,0.4085,-0.7695,1.18769,-0.7695,1.18769,-1.729095,1.18769,-1.729095,2.69819,-1.729095,2.69819,0,0,0,0,0,0.313595,0,0.313595,-0.646095,0.55119,-0.646095,0.55119,-0.959595,0.55119,-0.959595,2.17626,-0.959595,2.17626,-2.014285,2.17626,-2.014285,4.409045,-2.014285,4.409045,0,0,0,0,0,0,0,0,-0.171,-0.094905,-0.171,-0.094905,-0.57969,-0.094905,-0.57969,-0.094905,-0.57969,0.304095,-0.57969,0.304095,-1.39669,0.304095,-1.39669,0.304095,0,0,0,0,0,0,0,0,-0.361095,0.047785,-0.361095,0.047785,-0.86488,0.047785,-0.86488,0.047785,-0.86488,1.292665,-0.86488,1.292665,-2.280665,1.292665,-2.280665,1.292665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247,0.247,-0.247,0.247,-0.446595,0.446595,-0.446595,0.446595,-0.627095,0.627095,-0.627095,0.627095,-0.76019,0.76019,-0.76019,0.81719,-0.912285,0.912285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.824095,1.871595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788595,-0.959595,1.08319,-0.788595,1.33969,-1.48219,1.89088,-1.48219,1.928785,-2.850095,1.928785,-2.850095,2.56538,-3.28719,2.56538,-3.28719,3.76257,-3.28719,0,0,0,0,0,0,0.788595,-0.959595,1.08319,-0.788595,1.33969,-1.48219,1.89088,-1.48219,1.928785,-2.850095,1.928785,-2.850095,2.56538,-3.28719,2.56538,-3.28719,3.76257,-3.28719,0,0,0,0,0.484595,-1.881095,1.46319,-1.339595,2.91688,-1.9855,3.47738,-2.8405,3.47738,-2.8405,5.130475,-4.32269,5.130475,-4.32269,7.48657,-4.32269,7.48657,-6.868595,9.111165,-6.868595,0,0,0,0,0,0,1.159095,-1.159095,1.159095,-2.869,2.31819,-2.31819,2.584285,-3.467595,3.40138,-4.085285,3.96188,-4.62669,4.560475,-5.339285,5.120975,-5.50088,6.09007,-6.94488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.159095,-1.159095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-23,0,0,0,0,0,0,0.0665,-0.0475,-0.455905,-0.0475,-0.4085,-0.3705,-0.4085,-0.3705,-0.285,-0.3705,-0.285,-0.3705,-0.285,-1.453595,-0.665,-1.453595,-0.665,-1.453595,0,0,0,0,0,0,-0.712405,0.731405,-1.23481,0.731405,-1.234905,0.408405,-1.234905,0.408405,-1.97581,0.408405,-1.97581,0.408405,-1.97581,2.31724,-4.79731,2.31724,-4.79731,2.31724,0,0,0,0,0,0,0.3515,-0.3515,0.494,-0.3515,0.494,-0.3515,1.1495,-1.0545,1.1495,-1.0545,1.1495,-1.0545,1.595905,-2.3845,1.595905,-2.3845,1.595905,-2.3845,0,0,0,0,0,0,-0.427405,0.427405,-0.332405,0.427405,-0.332405,0.427405,-0.54131,-0.275595,-0.54131,-0.275595,-0.54131,-0.275595,-2.536405,1.386335,-2.536405,1.386335,-2.536405,1.386335,0,0,0,0,0,0,0.1425,0,0.475,-0.57,0.475,-0.57,0.8455,-0.57,0.8455,-0.57,0.8455,-1.814595,0.8455,-1.814595,1.729,-1.814595,1.729,-1.814595,0,0,0,0,0,0,-0.636405,0,-0.351405,0.208905,-0.351405,0.208905,-0.84531,0.208905,-0.84531,0.208905,-0.84531,1.95624,-0.84531,1.95624,-2.40331,1.95624,-2.40331,1.95624,0,0,0,0,0,0,-0.190095,0.190095,-0.54169,0.190095,-0.95019,0.20919,-1.06438,0.20919,-2.24238,0.04769,-2.24238,0.04769,-3.23057,-0.161215,-3.23057,-0.161215,-2.337855,-0.161215,0,0,0,0,0,0,-0.969,0.969,-1.320595,0.969,-1.729095,0.988095,-1.890785,0.988095,-3.93319,0.826595,-3.93319,0.826595,-7.36288,0.61769,-7.36288,0.61769,-9.395405,0.61769,0,0,0,0,-0.570095,0.570095,-0.92169,0.570095,-1.82438,0.570095,-3.35388,0.570095,-3.35388,0.570095,-4.97857,0.58919,-4.97857,0.58919,-5.501165,0.58919,-5.501165,0.42769,-5.95726,0.42769,0,0,0,0,0,0,-1.149595,1.149595,-2.422595,1.149595,-2.29919,1.02619,-3.448785,2.29919,-4.408285,2.318285,-5.26338,3.448785,-5.55788,3.53438,-6.935475,4.59838,-6.89757,4.018975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.149595,1.149595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285,-0.3895,0.152,-0.6365,0.152,-0.835905,0.351405,-0.835905,0.579405,-1.016405,0.579405,-1.016405,0.807405,-1.054405,0.807405,-1.054405,0.807405,-1.766905,0,0,0,0,0,0,0.0285,-0.3895,0.152,-0.6365,0.152,-0.835905,0.351405,-0.835905,0.579405,-1.016405,0.579405,-1.016405,0.807405,-1.054405,0.807405,-1.054405,0.807405,-1.766905,0,0,0,0,-0.304,0,0.265905,-0.6935,0.227905,-0.627,0.9215,-1.3015,1.016405,-1.3015,1.016405,-2.831,1.709905,-2.831,1.709905,-3.382,2.004405,-3.382,2.004405,-4.027905,0,0,0,0,0,0,0.133,-0.133,-0.5225,-0.133,-0.5225,-1.2255,-0.3895,-1.102095,-1.8715,-2.384405,-0.2565,-2.28,-1.786,-1.4155,-0.8645,-2.033,-1.424905,-2.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,-0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
