0,0.01_10_15_0_put,0.01_10_15_0_call,0.03_10_15_0_put,0.03_10_15_0_call,0.05_10_15_0_put,0.05_10_15_0_call,0.1_10_15_0_put,0.1_10_15_0_call,0.15_10_15_0_put,0.15_10_15_0_call,0.2_10_15_0_put,0.2_10_15_0_call,0.25_10_15_0_put,0.25_10_15_0_call,0.3_10_15_0_put,0.3_10_15_0_call,0.35_10_15_0_put,0.35_10_15_0_call,0.4_10_15_0_put,0.4_10_15_0_call,0.45_10_15_0_put,0.45_10_15_0_call,0.5_10_15_0_put,0.5_10_15_0_call,0.01_10_16_0_put,0.01_10_16_0_call,0.03_10_16_0_put,0.03_10_16_0_call,0.05_10_16_0_put,0.05_10_16_0_call,0.1_10_16_0_put,0.1_10_16_0_call,0.15_10_16_0_put,0.15_10_16_0_call,0.2_10_16_0_put,0.2_10_16_0_call,0.25_10_16_0_put,0.25_10_16_0_call,0.3_10_16_0_put,0.3_10_16_0_call,0.35_10_16_0_put,0.35_10_16_0_call,0.4_10_16_0_put,0.4_10_16_0_call,0.45_10_16_0_put,0.45_10_16_0_call,0.5_10_16_0_put,0.5_10_16_0_call,0.01_11_15_0_put,0.01_11_15_0_call,0.03_11_15_0_put,0.03_11_15_0_call,0.05_11_15_0_put,0.05_11_15_0_call,0.1_11_15_0_put,0.1_11_15_0_call,0.15_11_15_0_put,0.15_11_15_0_call,0.2_11_15_0_put,0.2_11_15_0_call,0.25_11_15_0_put,0.25_11_15_0_call,0.3_11_15_0_put,0.3_11_15_0_call,0.35_11_15_0_put,0.35_11_15_0_call,0.4_11_15_0_put,0.4_11_15_0_call,0.45_11_15_0_put,0.45_11_15_0_call,0.5_11_15_0_put,0.5_11_15_0_call,0.01_11_16_0_put,0.01_11_16_0_call,0.03_11_16_0_put,0.03_11_16_0_call,0.05_11_16_0_put,0.05_11_16_0_call,0.1_11_16_0_put,0.1_11_16_0_call,0.15_11_16_0_put,0.15_11_16_0_call,0.2_11_16_0_put,0.2_11_16_0_call,0.25_11_16_0_put,0.25_11_16_0_call,0.3_11_16_0_put,0.3_11_16_0_call,0.35_11_16_0_put,0.35_11_16_0_call,0.4_11_16_0_put,0.4_11_16_0_call,0.45_11_16_0_put,0.45_11_16_0_call,0.5_11_16_0_put,0.5_11_16_0_call,0.01_13_15_0_put,0.01_13_15_0_call,0.03_13_15_0_put,0.03_13_15_0_call,0.05_13_15_0_put,0.05_13_15_0_call,0.1_13_15_0_put,0.1_13_15_0_call,0.15_13_15_0_put,0.15_13_15_0_call,0.2_13_15_0_put,0.2_13_15_0_call,0.25_13_15_0_put,0.25_13_15_0_call,0.3_13_15_0_put,0.3_13_15_0_call,0.35_13_15_0_put,0.35_13_15_0_call,0.4_13_15_0_put,0.4_13_15_0_call,0.45_13_15_0_put,0.45_13_15_0_call,0.5_13_15_0_put,0.5_13_15_0_call,0.01_13_16_0_put,0.01_13_16_0_call,0.03_13_16_0_put,0.03_13_16_0_call,0.05_13_16_0_put,0.05_13_16_0_call,0.1_13_16_0_put,0.1_13_16_0_call,0.15_13_16_0_put,0.15_13_16_0_call,0.2_13_16_0_put,0.2_13_16_0_call,0.25_13_16_0_put,0.25_13_16_0_call,0.3_13_16_0_put,0.3_13_16_0_call,0.35_13_16_0_put,0.35_13_16_0_call,0.4_13_16_0_put,0.4_13_16_0_call,0.45_13_16_0_put,0.45_13_16_0_call,0.5_13_16_0_put,0.5_13_16_0_call,0.01_15_15_1_put,0.01_15_15_1_call,0.03_15_15_1_put,0.03_15_15_1_call,0.05_15_15_1_put,0.05_15_15_1_call,0.1_15_15_1_put,0.1_15_15_1_call,0.15_15_15_1_put,0.15_15_15_1_call,0.2_15_15_1_put,0.2_15_15_1_call,0.25_15_15_1_put,0.25_15_15_1_call,0.3_15_15_1_put,0.3_15_15_1_call,0.35_15_15_1_put,0.35_15_15_1_call,0.4_15_15_1_put,0.4_15_15_1_call,0.45_15_15_1_put,0.45_15_15_1_call,0.5_15_15_1_put,0.5_15_15_1_call,0.01_15_16_1_put,0.01_15_16_1_call,0.03_15_16_1_put,0.03_15_16_1_call,0.05_15_16_1_put,0.05_15_16_1_call,0.1_15_16_1_put,0.1_15_16_1_call,0.15_15_16_1_put,0.15_15_16_1_call,0.2_15_16_1_put,0.2_15_16_1_call,0.25_15_16_1_put,0.25_15_16_1_call,0.3_15_16_1_put,0.3_15_16_1_call,0.35_15_16_1_put,0.35_15_16_1_call,0.4_15_16_1_put,0.4_15_16_1_call,0.45_15_16_1_put,0.45_15_16_1_call,0.5_15_16_1_put,0.5_15_16_1_call,0.01_12_12_1_put,0.01_12_12_1_call,0.03_12_12_1_put,0.03_12_12_1_call,0.05_12_12_1_put,0.05_12_12_1_call,0.1_12_12_1_put,0.1_12_12_1_call,0.15_12_12_1_put,0.15_12_12_1_call,0.2_12_12_1_put,0.2_12_12_1_call,0.25_12_12_1_put,0.25_12_12_1_call,0.3_12_12_1_put,0.3_12_12_1_call,0.35_12_12_1_put,0.35_12_12_1_call,0.4_12_12_1_put,0.4_12_12_1_call,0.45_12_12_1_put,0.45_12_12_1_call,0.5_12_12_1_put,0.5_12_12_1_call,0.01_15_16_7_put,0.01_15_16_7_call,0.03_15_16_7_put,0.03_15_16_7_call,0.05_15_16_7_put,0.05_15_16_7_call,0.1_15_16_7_put,0.1_15_16_7_call,0.15_15_16_7_put,0.15_15_16_7_call,0.2_15_16_7_put,0.2_15_16_7_call,0.25_15_16_7_put,0.25_15_16_7_call,0.3_15_16_7_put,0.3_15_16_7_call,0.35_15_16_7_put,0.35_15_16_7_call,0.4_15_16_7_put,0.4_15_16_7_call,0.45_15_16_7_put,0.45_15_16_7_call,0.5_15_16_7_put,0.5_15_16_7_call,0.01_15_16_14_put,0.01_15_16_14_call,0.03_15_16_14_put,0.03_15_16_14_call,0.05_15_16_14_put,0.05_15_16_14_call,0.1_15_16_14_put,0.1_15_16_14_call,0.15_15_16_14_put,0.15_15_16_14_call,0.2_15_16_14_put,0.2_15_16_14_call,0.25_15_16_14_put,0.25_15_16_14_call,0.3_15_16_14_put,0.3_15_16_14_call,0.35_15_16_14_put,0.35_15_16_14_call,0.4_15_16_14_put,0.4_15_16_14_call,0.45_15_16_14_put,0.45_15_16_14_call,0.5_15_16_14_put,0.5_15_16_14_call,0.01_15_16_28_put,0.01_15_16_28_call,0.03_15_16_28_put,0.03_15_16_28_call,0.05_15_16_28_put,0.05_15_16_28_call,0.1_15_16_28_put,0.1_15_16_28_call,0.15_15_16_28_put,0.15_15_16_28_call,0.2_15_16_28_put,0.2_15_16_28_call,0.25_15_16_28_put,0.25_15_16_28_call,0.3_15_16_28_put,0.3_15_16_28_call,0.35_15_16_28_put,0.35_15_16_28_call,0.4_15_16_28_put,0.4_15_16_28_call,0.45_15_16_28_put,0.45_15_16_28_call,0.5_15_16_28_put,0.5_15_16_28_call,0.01_15_16_42_put,0.01_15_16_42_call,0.03_15_16_42_put,0.03_15_16_42_call,0.05_15_16_42_put,0.05_15_16_42_call,0.1_15_16_42_put,0.1_15_16_42_call,0.15_15_16_42_put,0.15_15_16_42_call,0.2_15_16_42_put,0.2_15_16_42_call,0.25_15_16_42_put,0.25_15_16_42_call,0.3_15_16_42_put,0.3_15_16_42_call,0.35_15_16_42_put,0.35_15_16_42_call,0.4_15_16_42_put,0.4_15_16_42_call,0.45_15_16_42_put,0.45_15_16_42_call,0.5_15_16_42_put,0.5_15_16_42_call
2019-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.095,0.19,0.19,0.19,0.19,0.19,0.285,0.38,0.285,0.38,0.38,0.475,0.38,0,0,0,0,0,0,0,0,0,0,0.095,0.095,0.19,0.19,0.19,0.19,0.19,0.285,0.38,0.285,0.38,0.38,0.475,0.38,0,0,0,0,0,0,0,0.095,0,0,0.095,0.095,0.19,0.19,0.19,0.19,0.19,0.285,0.38,0.285,0.38,0.38,0.475,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-16,0,0,0,0,0,0.19,0.095,0.285,0.095,0.285,0.285,0.855,0.285,1.425,0.665,1.425,0.665,1.425,1.425,1.995,1.425,1.995,2.185,1.995,0,0,0,0,0,0.19,0.095,0.285,0.095,0.285,0.285,0.855,0.285,1.425,0.665,1.425,0.665,1.425,1.805,2.565,1.805,2.565,3.325,2.565,0,0,0,0,0,0,0.285,0.095,0.855,0.095,0.855,0.285,1.615,0.285,1.615,0.855,1.615,0.855,1.995,0.855,1.995,0.855,1.995,1.425,0,0,0,0,0,0,0.285,0.095,1.235,0.095,1.235,0.285,2.755,0.285,2.755,0.855,2.755,0.855,3.705,0.855,3.705,0.855,3.705,1.425,0,0,0,0,0,0,0.095,0.095,0.095,0.095,0.285,0.475,0.285,0.475,0.665,0.475,0.665,1.235,0.665,1.235,0.665,1.235,1.425,1.235,0,0,0,0,0,0,0.095,0.095,0.095,0.095,0.285,0.475,0.285,0.475,1.045,0.475,1.045,1.805,1.045,1.805,1.045,1.805,2.565,1.805,0,0,0,0,0,0,0.095,0,0.285,0.095,0.57,0.19,1.235,0.285,1.995,0.285,1.995,0.57,2.185,0.57,2.185,1.045,2.66,1.045,0,0,0,0,0,0,0.095,0,0.285,0.095,0.57,0.19,1.615,0.285,3.135,0.285,3.135,0.57,3.895,0.57,3.895,1.045,4.18,1.045,0,0,0,0,0,0,0.095,0.095,0.095,0.095,0.38,0.19,0.855,0.285,0.855,0.285,1.045,0.57,1.425,0.57,1.425,1.045,1.33,1.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0.095,0.095,0.285,0.095,0.285,0.095,0.475,0.38,0.475,0.38,0.475,0.38,0.475,0.57,0,0,0,0,0,0,0,0,0.095,0,0.095,0.095,0.285,0.095,0.285,0.095,0.475,0.38,0.475,0.38,0.475,0.38,0.475,0.57,0,0,0,0,0,0,0.095,0,0,0.095,0.19,0.095,0.285,0.38,0.285,0.38,0.475,0.57,0.475,0.57,0.665,0.95,0.665,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-18,0,0,0.19,0,0.38,0,0.95,0,1.235,0.095,1.425,0.095,2.185,0.285,2.185,0.285,3.135,0.285,3.135,0.855,3.135,0.855,2.755,0.855,0,0,0.19,0,0.38,0,0.95,0,1.235,0.095,1.425,0.095,3.135,0.285,3.135,0.285,4.085,0.285,4.085,0.855,4.085,0.855,3.515,0.855,0,0,0,0,0.19,0,0.57,0.095,0.665,0.095,1.045,0.475,1.235,0.475,1.235,0.475,1.235,1.425,1.805,1.425,1.805,1.425,1.805,2.375,0,0,0,0,0.19,0,0.57,0.095,0.665,0.095,1.045,0.475,1.235,0.475,1.235,0.475,1.235,1.805,2.755,1.805,2.755,1.805,2.755,2.945,0,0,0,0,0,0.19,0,0.665,0.095,0.665,0.285,1.425,0.285,1.425,0.475,1.425,0.475,1.425,0.475,1.425,0.855,1.425,0.855,1.425,0,0,0,0,0,0.19,0,1.045,0.095,1.045,0.285,1.995,0.285,1.995,0.475,1.995,0.475,1.995,0.475,2.375,0.855,2.375,0.855,2.375,0,0,0.38,0,0.95,0,1.425,0,2.09,0.095,2.09,0.19,3.04,0.19,3.04,0.19,2.28,0.285,2.28,0.285,2.28,0.285,2.28,0.855,0,0,0.38,0,0.95,0,1.425,0,3.04,0.095,3.04,0.19,3.99,0.19,3.99,0.19,3.04,0.285,3.04,0.285,3.04,0.285,3.04,0.855,0,0,0,0,0,0,0.095,0.095,0.285,0.19,0.665,0.19,0.76,0.285,0.76,0.285,1.33,0.855,1.33,0.855,1.52,1.045,1.52,1.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-21,0,0,0,0,0,0.19,0.095,0.19,0.285,0.475,0.285,1.425,0.475,1.425,0.475,1.425,0.855,1.425,0.855,1.425,0.855,1.425,1.235,1.425,0,0,0,0,0,0.19,0.095,0.19,0.285,0.475,0.285,1.995,0.475,1.995,0.475,1.995,0.855,1.615,0.855,1.615,0.855,1.615,1.235,1.615,0,0,0,0,0,0.19,0,0.19,0.095,0.475,0.095,0.475,0.285,0.475,0.285,1.425,0.285,1.425,0.855,1.425,0.855,1.425,0.855,1.425,0,0,0,0,0,0.19,0,0.19,0.095,0.475,0.095,0.475,0.285,0.475,0.285,1.995,0.285,1.995,0.855,1.995,0.855,1.615,0.855,1.615,0,0,0,0,0,0,0,0,0.095,0.475,0.095,0.475,0.475,0.475,0.475,0.475,0.475,1.235,0.475,1.235,1.615,1.235,1.615,1.235,0,0,0,0,0,0,0,0,0.095,0.475,0.095,0.475,0.475,0.475,0.475,0.475,0.475,1.805,0.475,1.805,1.615,1.805,1.615,1.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.095,0.095,0.095,0.19,0.19,0.19,0.19,0.285,0.285,0.285,0.38,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.095,0,0.19,0.095,0.285,0.095,0.475,0.475,0.475,0.475,0.665,0.57,0.665,0.57,0.57,0.57,0,0,0,0,0,0,0,0.095,0.095,0,0.19,0.095,0.285,0.095,0.475,0.475,0.475,0.475,0.665,0.57,0.665,0.57,0.57,0.57,0,0,0,0,0.095,0.095,0.19,0,0.285,0.19,0.475,0.38,0.475,0.38,0.665,0.665,0.665,0.665,0.57,0.665,0.57,1.045,0.665,1.045,0,0,0,0,0,0,0,0,0,0.19,0,0,0.095,0.19,0.095,0.19,0.095,0.19,0.095,0.19,0.095,0.095,0.095,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-23,0,0,0,0,0,0,0.19,0.095,0.285,0.095,0.475,0.665,0.475,0.665,1.235,0.665,1.235,0.665,1.235,1.615,2.755,1.615,2.755,1.615,0,0,0,0,0,0,0.19,0.095,0.285,0.095,0.475,0.665,0.475,0.665,1.425,0.665,1.425,0.665,1.425,2.755,2.945,2.755,2.945,2.755,0,0,0,0,0,0,0.095,0.095,0.285,0.095,0.285,0.095,0.855,0.665,0.855,0.665,0.855,0.665,2.375,1.235,2.375,1.235,2.375,1.235,0,0,0,0,0,0,0.095,0.095,0.285,0.095,0.285,0.095,1.045,0.665,1.045,0.665,1.045,0.665,2.565,2.375,2.565,2.375,2.565,2.375,0,0,0,0,0,0,0.19,0,0.285,0.285,0.285,0.285,0.855,0.285,0.855,0.285,0.855,1.045,0.855,1.045,1.995,1.045,1.995,1.045,0,0,0,0,0,0,0.19,0,0.285,0.285,0.285,0.285,1.045,0.285,1.045,0.285,1.045,2.185,1.045,2.185,2.185,2.185,2.185,2.185,0,0,0,0,0,0,0.095,0.095,0.19,0.095,0.285,0.19,0.38,0.19,1.33,0.19,1.33,0.19,2.85,0.855,2.85,0.855,3.135,0.855,0,0,0,0,0,0,0.095,0.095,0.19,0.095,0.285,0.19,0.38,0.19,1.52,0.19,1.52,0.19,3.04,0.855,3.04,0.855,4.465,0.855,0,0,0,0,0.095,0.095,0.19,0.095,0.38,0.095,0.95,0.095,0.95,0.095,1.33,0.19,1.33,0.19,1.235,0.19,1.235,0.19,1.33,0.19,0,0,0,0,0,0,0,0,0.095,0,0,0.095,0,0,0.095,0.095,0.19,0,0.095,0.19,0.19,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.095,0,0.095,0,0.19,0.095,0.19,0.19,0.285,0.19,0.285,0.285,0.38,0.285,0.38,0.285,0.665,0,0,0,0,0,0,0.095,0.095,0,0.095,0,0.19,0.095,0.19,0.19,0.285,0.19,0.285,0.285,0.38,0.285,0.38,0.285,0.665,0,0,0,0,0.095,0,0.095,0.095,0.285,0,0.285,0.095,0.38,0.095,0.38,0.38,0.475,0.38,0.475,0.475,0.76,0.475,0.76,0.76,0,0,0,0,0,0,0,0,0.095,0,0.095,0.19,0.095,0.19,0.475,0.38,0.095,0.38,0.475,0.19,0.285,0.285,0.38,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
